elev_ft_NAVD88,elev_ft_NGVD29,area_ft2,area_m2,area_km2,area_mi2,area_acre,volume_ft3,volume_m3,volume_km3,volume_mi3,volume_acreft
4206.02,4202.54,50870053876,4725982650,4725.98,1824.71,1167811.07,8.05E+11,22791111396,22.79,5.47,18477102.09
4206.03,4202.55,50891011209,4727929650,4727.93,1825.46,1168292.19,8.05E+11,22805181278,22.81,5.47,18488508.75
4206.04,4202.56,50917241782,4730366550,4730.37,1826.4,1168894.36,8.06E+11,22819961324,22.82,5.47,18500491.16
4206.05,4202.57,50940431013,4732520900,4732.52,1827.24,1169426.7,8.06E+11,22834044549,22.83,5.48,18511908.65
4206.06,4202.58,50965312061,4734832425,4734.83,1828.13,1169997.89,8.07E+11,22848838915,22.85,5.48,18523902.67
4206.07,4202.59,51033784255,4741193700,4741.19,1830.59,1171569.79,8.07E+11,22862935821,22.86,5.49,18535331.24
4206.08,4202.6,51061611924,4743778975,4743.78,1831.58,1172208.62,8.08E+11,22877757715,22.88,5.49,18547347.58
4206.09,4202.61,51090116911,4746427175,4746.43,1832.61,1172863.01,8.08E+11,22891881576,22.89,5.49,18558798.01
4206.1,4202.62,51119635859,4749169575,4749.17,1833.66,1173540.67,8.09E+11,22906720057,22.91,5.5,18570827.79
4206.11,4202.63,51152943703,4752263975,4752.26,1834.86,1174305.31,8.09E+11,22920860903,22.92,5.5,18582291.99
4206.12,4202.64,51182859301,4755043225,4755.04,1835.93,1174992.07,8.10E+11,22935717701,22.94,5.5,18594336.62
4206.13,4202.65,51212059638,4757756025,4757.76,1836.98,1175662.41,8.10E+11,22949875187,22.95,5.51,18605814.31
4206.14,4202.66,51245019539,4760818100,4760.82,1838.16,1176419.07,8.11E+11,22964749557,22.96,5.51,18617873.19
4206.15,4202.67,51273818112,4763493575,4763.49,1839.2,1177080.19,8.11E+11,22978924188,22.98,5.51,18629364.78
4206.16,4202.68,51303230497,4766226075,4766.23,1840.25,1177755.4,8.12E+11,22993816002,22.99,5.52,18641437.8
4206.17,4202.69,51336231839,4769292000,4769.29,1841.43,1178513,8.13E+11,23008006914,23.01,5.52,18652942.59
4206.18,4202.7,51365211515,4771984300,4771.98,1842.47,1179178.28,8.13E+11,23022916807,23.02,5.52,18665030.27
4206.19,4202.71,51393424263,4774605350,4774.61,1843.49,1179825.96,8.14E+11,23037124559,23.04,5.53,18676548.71
4206.2,4202.72,51421629744,4777225725,4777.23,1844.5,1180473.46,8.14E+11,23052050945,23.05,5.53,18688649.76
